,Unnamed: 0,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
939,939,2020_10_11,-34.574757,-58.419056000000005,https://departamento.mercadolibre.com.ar/MLA-883182844-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,2800.0,USD,212.0,6.0
940,940,2020_10_11,-34.569252,-58.445953,https://departamento.mercadolibre.com.ar/MLA-883183337-departamento-en-alquiler-en-belgrano-_JM,Departamento En Alquiler En Belgrano,Departamento,96000.0,ARS,39.0,2.0
941,941,2020_10_11,-34.615288,-58.361866000000006,https://departamento.mercadolibre.com.ar/MLA-883183957-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,185000.0,ARS,184.0,4.0
942,942,2020_10_11,-34.625725,-58.419876,https://departamento.mercadolibre.com.ar/MLA-883186549-2-ambientes-cbalcon-orientacion-norte-mb-estado-amenities-_JM,2 Ambientes C/balcón - Orientacion Norte - Mb Estado - Amenities,Departamento,101000.0,ARS,44.0,2.0
943,943,2020_10_11,-34.59062,-58.414134999999995,https://departamento.mercadolibre.com.ar/MLA-883191085-impecable-2-amb-a-mts-de-boulevard-charcas-apto-profesiona-_JM,Impecable 2 Amb. A Mts De Boulevard Charcas. Apto Profesiona,Departamento,95000.0,ARS,35.0,2.0
944,944,2020_10_11,-34.562317,-58.465385,https://departamento.mercadolibre.com.ar/MLA-883192151-departamento-monoambiente-en-alquiler-ubicado-en-belgrano-capital-federal-_JM,"Departamento Monoambiente  En Alquiler Ubicado En Belgrano, Capital Federal",Departamento,91500.0,ARS,20.0,1.0
945,945,2020_10_11,-34.580166,-58.431477,https://departamento.mercadolibre.com.ar/MLA-883193033-espectacular-terraza-de-45-mts-suite-toilette-seg-piscina-_JM,Espectacular Terraza De 45 Mts Suite Toilette Seg Piscina,Departamento,130000.0,ARS,109.0,3.0
946,946,2020_10_11,-34.557915,-58.46286,https://departamento.mercadolibre.com.ar/MLA-883193780-departamento-en-alquiler-en-nunez-_JM,Departamento En Alquiler En Nuñez,Departamento,101000.0,ARS,49.0,2.0
947,947,2020_10_11,-34.60982,-58.392605,https://departamento.mercadolibre.com.ar/MLA-883194803-excelente-departamento-2-ambientes-con-balcon-al-frente-_JM,Excelente Departamento 2 Ambientes Con Balcon Al Frente,Departamento,109000.0,ARS,55.0,2.0
948,948,2020_10_11,-34.579246999999995,-58.42901,https://departamento.mercadolibre.com.ar/MLA-883195245-monoambiente-en-palermo-_JM,Monoambiente En Palermo,Departamento,250.0,USD,58.0,2.0
949,949,2020_10_11,-34.574303,-58.46520600000001,https://departamento.mercadolibre.com.ar/MLA-883195936-departamento-belgrano-r-_JM,Departamento - Belgrano R,Departamento,135000.0,ARS,120.0,3.0
950,950,2020_10_11,-34.58855,-58.42116,https://departamento.mercadolibre.com.ar/MLA-883197976-departamento-palermo-_JM,Departamento - Palermo,Departamento,103000.0,ARS,68.0,3.0
